Interval=	0.001 s
ExcelDateTime=	4.3789698858673677e+04	11/20/19 16:46:21.389406
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	500.0 mV
0.617	1.40625
0.618	1.40625
0.619	1.453125
0.62	1.578125
0.621	1.53125
0.622	1.296875
0.623	1.09375
0.624	0.890625
0.625	0.75
0.626	0.71875
0.627	0.59375
0.628	0.421875
0.629	0.34375
0.63	0.171875
0.631	-0.015625
0.632	-0.203125
0.633	-0.53125
0.634	-0.65625
0.635	-0.75
0.636	-0.859375
0.637	-0.875
0.638	-0.96875
0.639	-1
0.64	-1.03125
0.641	-1.15625
0.642	-1.21875
0.643	-1.3125
0.644	-1.4375
0.645	-1.46875
0.646	-1.578125
0.647	-1.6875
0.648	-1.734375
0.649	-1.84375
0.65	-1.90625
0.651	-1.921875
0.652	-2
0.653	-2.015625
0.654	-2.046875
0.655	-2.125
0.656	-2.109375
0.657	-2.15625
0.658	-2.171875
0.659	-2.15625
0.66	-2.1875
0.661	-2.15625
0.662	-2.171875
0.663	-2.1875
0.664	-2.171875
0.665	-2.21875
0.666	-2.1875
0.667	-2.1875
0.668	-2.203125
0.669	-2.171875
0.67	-2.171875
0.671	-2.1875
0.672	-2.140625
0.673	-2.140625
0.674	-2.171875
0.675	-2.046875
0.676	-2.03125
0.677	-2.046875
0.678	-1.9375
0.679	-1.96875
0.68	-1.984375
0.681	-1.890625
0.682	-1.953125
0.683	-1.953125
0.684	-1.84375
0.685	-1.9375
0.686	-1.921875
0.687	-1.859375
0.688	-1.9375
0.689	-1.921875
0.69	-1.890625
0.691	-1.953125
0.692	-1.953125
0.693	-1.890625
0.694	-1.90625
0.695	-1.890625
0.696	-1.78125
0.697	-1.75
0.698	-1.671875
0.699	-1.515625
0.7	-1.46875
0.701	-1.34375
0.702	-1.21875
0.703	-1.1875
0.704	-1.125
0.705	-1.078125
0.706	-1.046875
0.707	-1.078125
0.708	-1.09375
0.709	-1.125
0.71	-1.203125
0.711	-1.25
0.712	-1.328125
0.713	-1.46875
0.714	-1.53125
0.715	-1.609375
0.716	-1.78125
0.717	-1.8125
0.718	-1.875
0.719	-2.015625
0.72	-2.015625
0.721	-2.03125
0.722	-2.125
0.723	-2.0625
0.724	-2.0625
0.725	-2.109375
0.726	-2.015625
0.727	-2
0.728	-2.03125
0.729	-1.921875
0.73	-1.90625
0.731	-1.9375
0.732	-1.84375
0.733	-1.828125
0.734	-1.796875
0.735	-1.75
0.736	-1.765625
0.737	-1.734375
0.738	-1.703125
0.739	-1.65625
0.74	-1.609375
0.741	-1.546875
0.742	-1.46875
0.743	-1.4375
0.744	-1.34375
0.745	-1.25
0.746	-1.21875
0.747	-1.078125
0.748	-0.984375
0.749	-0.90625
0.75	-0.75
0.751	-0.65625
0.752	-0.546875
0.753	-0.40625
0.754	-0.296875
0.755	-0.109375
0.756	0.09375
0.757	0.265625
0.758	0.5
0.759	0.71875
0.76	0.96875
0.761	1.28125
0.762	1.578125
0.763	1.890625
0.764	2.21875
0.765	2.578125
0.766	2.9375
0.767	3.28125
0.768	3.671875
0.769	4.046875
0.77	4.453125
0.771	4.90625
0.772	5.3125
0.773	5.78125
0.774	6.265625
0.775	6.6875
0.776	7.15625
0.777	7.578125
0.778	7.953125
0.779	8.375
0.78	8.796875
0.781	9.140625
0.782	9.546875
0.783	9.9375
0.784	10.26562
0.785	10.6875
0.786	11.01562
0.787	11.35938
0.788	11.75
0.789	12.10938
0.79	12.5
0.791	12.85938
0.792	13.23438
0.793	13.625
0.794	13.95312
0.795	14.28125
0.796	14.59375
0.797	14.84375
0.798	15.14062
0.799	15.35938
0.8	15.51562
0.801	15.75
0.802	15.90625
0.803	16.01562
0.804	16.125
0.805	16.1875
0.806	16.25
0.807	16.28125
0.808	16.26562
0.809	16.28125
0.81	16.26562
0.811	16.25
0.812	16.23438
0.813	16.20312
0.814	16.21875
0.815	16.21875
0.816	16.15625
0.817	16.15625
0.818	16.125
0.819	16.07812
0.82	16.0625
0.821	16.01562
0.822	15.95312
0.823	15.89062
0.824	15.78125
0.825	15.64062
0.826	15.51562
0.827	15.34375
0.828	15.14062
0.829	14.98438
0.83	14.79688
0.831	14.59375
0.832	14.375
0.833	14.15625
0.834	13.92188
0.835	13.65625
0.836	13.42188
0.837	13.1875
0.838	12.95312
0.839	12.71875
0.84	12.48438
0.841	12.23438
0.842	11.96875
0.843	11.67188
0.844	11.375
0.845	11.03125
0.846	10.70312
0.847	10.39062
0.848	10.03125
0.849	9.65625
0.85	9.34375
0.851	8.9375
0.852	8.578125
0.853	8.265625
0.854	7.921875
0.855	7.65625
0.856	7.4375
0.857	7.203125
0.858	6.984375
0.859	6.84375
0.86	6.6875
0.861	6.5
0.862	6.390625
0.863	6.296875
0.864	6.15625
0.865	6.109375
0.866	6
0.867	5.828125
0.868	5.6875
0.869	5.515625
0.87	5.3125
0.871	5.140625
0.872	4.921875
0.873	4.71875
0.874	4.515625
0.875	4.21875
0.876	3.96875
0.877	3.734375
0.878	3.375
0.879	3.09375
0.88	2.84375
0.881	2.46875
0.882	2.1875
0.883	1.96875
0.884	1.65625
0.885	1.359375
0.886	1.171875
0.887	0.90625
0.888	0.625
0.889	0.46875
0.89	0.296875
0.891	0.0625
0.892	-0.0625
0.893	-0.1875
0.894	-0.390625
0.895	-0.5
0.896	-0.578125
0.897	-0.71875
0.898	-0.84375
0.899	-0.921875
0.9	-1.03125
0.901	-1.15625
0.902	-1.25
0.903	-1.328125
0.904	-1.46875
0.905	-1.53125
0.906	-1.5625
0.907	-1.625
0.908	-1.640625
0.909	-1.609375
0.91	-1.578125
0.911	-1.578125
0.912	-1.53125
0.913	-1.46875
0.914	-1.421875
0.915	-1.359375
0.916	-1.25
0.917	-1.203125
0.918	-1.15625
0.919	-1.09375
0.92	-1.078125
0.921	-1.0625
0.922	-1.046875
0.923	-1.03125
0.924	-1.046875
0.925	-1.0625
0.926	-1.0625
0.927	-1.109375
0.928	-1.140625
0.929	-1.203125
0.93	-1.21875
0.931	-1.21875
0.932	-1.25
0.933	-1.25
0.934	-1.234375
0.935	-1.28125
0.936	-1.296875
0.937	-1.296875
0.938	-1.328125
0.939	-1.375
0.94	-1.375
0.941	-1.421875
0.942	-1.4375
0.943	-1.4375
0.944	-1.46875
0.945	-1.5
0.946	-1.484375
0.947	-1.46875
0.948	-1.46875
0.949	-1.453125
0.95	-1.4375
0.951	-1.421875
0.952	-1.40625
0.953	-1.421875
0.954	-1.40625
0.955	-1.390625
0.956	-1.390625
0.957	-1.375
0.958	-1.328125
0.959	-1.296875
0.96	-1.296875
0.961	-1.25
0.962	-1.234375
0.963	-1.203125
0.964	-1.109375
0.965	-1.046875
0.966	-1
0.967	-0.875
0.968	-0.828125
0.969	-0.796875
0.97	-0.765625
0.971	-0.71875
0.972	-0.65625
0.973	-0.59375
0.974	-0.546875
0.975	-0.484375
0.976	-0.4375
0.977	-0.421875
0.978	-0.390625
0.979	-0.375
0.98	-0.3125
0.981	-0.28125
0.982	-0.21875
0.983	-0.125
0.984	-0.03125
0.985	0.03125
0.986	0.09375
0.987	0.15625
0.988	0.203125
0.989	0.296875
0.99	0.359375
0.991	0.390625
0.992	0.46875
0.993	0.5
0.994	0.484375
0.995	0.453125
0.996	0.375
0.997	0.296875
0.998	0.203125
0.999	0.046875
1	-0.125
1.001	-0.25
1.002	-0.375
1.003	-0.46875
1.004	-0.53125
1.005	-0.65625
1.006	-0.84375
1.007	-1.078125
1.008	-1.3125
1.009	-1.484375
1.01	-1.609375
1.011	-1.734375
1.012	-1.890625
1.013	-2.046875
1.014	-2.125
1.015	-2.25
1.016	-2.390625
1.017	-2.453125
1.018	-2.46875
1.019	-2.453125
1.02	-2.484375
1.021	-2.546875
1.022	-2.59375
1.023	-2.625
1.024	-2.671875
1.025	-2.734375
1.026	-2.828125
1.027	-2.875
1.028	-2.90625
1.029	-2.984375
1.03	-3.0625
1.031	-3.171875
1.032	-3.28125
1.033	-3.328125
1.034	-3.359375
1.035	-3.421875
1.036	-3.4375
1.037	-3.5
1.038	-3.515625
1.039	-3.5
1.04	-3.484375
1.041	-3.453125
1.042	-3.359375
1.043	-3.265625
1.044	-3.15625
1.045	-3.0625
1.046	-2.953125
1.047	-2.828125
1.048	-2.6875
1.049	-2.546875
1.05	-2.421875
1.051	-2.234375
1.052	-2.09375
1.053	-1.96875
1.054	-1.828125
1.055	-1.703125
1.056	-1.578125
1.057	-1.4375
1.058	-1.28125
1.059	-1.15625
1.06	-1.03125
1.061	-0.875
1.062	-0.78125
1.063	-0.65625
1.064	-0.515625
1.065	-0.40625
1.066	-0.296875
1.067	-0.15625
1.068	-0.015625
1.069	0.109375
1.07	0.21875
1.071	0.34375
1.072	0.453125
1.073	0.546875
1.074	0.65625
1.075	0.75
1.076	0.859375
1.077	0.96875
1.078	1.03125
1.079	1.0625
1.08	1.09375
1.081	1.140625
1.082	1.171875
1.083	1.203125
1.084	1.28125
1.085	1.359375
1.086	1.421875
1.087	1.53125
1.088	1.65625
1.089	1.765625
