Interval=	0.001 s
ExcelDateTime=	4.3789695451030566e+04	11/20/19 16:41:26.969041
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	500.0 mV
1.062	10.76562
1.063	10.35938
1.064	9.859375
1.065	9.390625
1.066	8.96875
1.067	8.4375
1.068	7.953125
1.069	7.46875
1.07	6.890625
1.071	6.34375
1.072	5.8125
1.073	5.265625
1.074	4.734375
1.075	4.140625
1.076	3.578125
1.077	3.015625
1.078	2.390625
1.079	1.828125
1.08	1.171875
1.081	0.546875
1.082	-0.0625
1.083	-0.75
1.084	-1.390625
1.085	-2.109375
1.086	-2.828125
1.087	-3.484375
1.088	-4.21875
1.089	-4.890625
1.09	-5.5625
1.091	-6.21875
1.092	-6.765625
1.093	-7.375
1.094	-7.9375
1.095	-8.390625
1.096	-8.953125
1.097	-9.390625
1.098	-9.8125
1.099	-10.3125
1.1	-10.64062
1.101	-11.01562
1.102	-11.40625
1.103	-11.625
1.104	-11.92188
1.105	-12.25
1.106	-12.5625
1.107	-12.89062
1.108	-13.21875
1.109	-13.60938
1.11	-13.95312
1.111	-14.3125
1.112	-14.71875
1.113	-14.95312
1.114	-15.28125
1.115	-15.60938
1.116	-15.84375
1.117	-16.20312
1.118	-16.45312
1.119	-16.73438
1.12	-17.10938
1.121	-17.26562
1.122	-17.5625
1.123	-17.90625
1.124	-18.10938
1.125	-18.48438
1.126	-18.76562
1.127	-19.01562
1.128	-19.375
1.129	-19.57812
1.13	-19.84375
1.131	-20.125
1.132	-20.39062
1.133	-20.71875
1.134	-20.95312
1.135	-21.14062
1.136	-21.34375
1.137	-21.42188
1.138	-21.53125
1.139	-21.625
1.14	-21.59375
1.141	-21.57812
1.142	-21.48438
1.143	-21.35938
1.144	-21.23438
1.145	-21
1.146	-20.78125
1.147	-20.5625
1.148	-20.3125
1.149	-20.07812
1.15	-19.75
1.151	-19.45312
1.152	-19.17188
1.153	-18.78125
1.154	-18.46875
1.155	-18.07812
1.156	-17.71875
1.157	-17.39062
1.158	-16.96875
1.159	-16.625
1.16	-16.23438
1.161	-15.79688
1.162	-15.39062
1.163	-14.8125
1.164	-14.3125
1.165	-13.79688
1.166	-13.17188
1.167	-12.70312
1.168	-12.14062
1.169	-11.59375
1.17	-11.15625
1.171	-10.625
1.172	-10.17188
1.173	-9.75
1.174	-9.296875
1.175	-8.90625
1.176	-8.578125
1.177	-8.234375
1.178	-7.9375
1.179	-7.671875
1.18	-7.421875
1.181	-7.203125
1.182	-7
1.183	-6.796875
1.184	-6.640625
1.185	-6.484375
1.186	-6.359375
1.187	-6.28125
1.188	-6.203125
1.189	-6.140625
1.19	-6.09375
1.191	-6.046875
1.192	-6.03125
1.193	-6.015625
1.194	-6.03125
1.195	-6.078125
1.196	-6.0625
1.197	-6.125
1.198	-6.1875
1.199	-6.15625
1.2	-6.265625
1.201	-6.328125
1.202	-6.40625
1.203	-6.59375
1.204	-6.640625
1.205	-6.796875
1.206	-6.953125
1.207	-6.984375
1.208	-7.140625
1.209	-7.171875
1.21	-7.21875
1.211	-7.34375
1.212	-7.3125
1.213	-7.375
1.214	-7.40625
1.215	-7.375
1.216	-7.4375
1.217	-7.390625
1.218	-7.375
1.219	-7.40625
1.22	-7.359375
1.221	-7.390625
1.222	-7.40625
1.223	-7.421875
1.224	-7.515625
1.225	-7.5
1.226	-7.546875
1.227	-7.640625
1.228	-7.65625
1.229	-7.796875
1.23	-7.84375
1.231	-7.890625
1.232	-7.96875
1.233	-7.953125
1.234	-7.984375
1.235	-7.984375
1.236	-8.015625
1.237	-8.15625
1.238	-8.21875
1.239	-8.375
1.24	-8.53125
1.241	-8.578125
1.242	-8.71875
1.243	-8.75
1.244	-8.78125
1.245	-8.84375
1.246	-8.8125
1.247	-8.875
1.248	-8.90625
1.249	-8.890625
1.25	-8.921875
1.251	-8.90625
1.252	-8.953125
1.253	-9.015625
1.254	-9.03125
1.255	-9.125
1.256	-9.1875
1.257	-9.25
1.258	-9.34375
1.259	-9.390625
1.26	-9.421875
1.261	-9.40625
1.262	-9.375
1.263	-9.328125
1.264	-9.3125
1.265	-9.34375
1.266	-9.375
1.267	-9.4375
1.268	-9.484375
1.269	-9.515625
1.27	-9.59375
1.271	-9.578125
1.272	-9.578125
1.273	-9.578125
1.274	-9.546875
1.275	-9.546875
1.276	-9.53125
1.277	-9.484375
1.278	-9.453125
1.279	-9.375
1.28	-9.296875
1.281	-9.234375
1.282	-9.109375
1.283	-9.015625
1.284	-8.90625
1.285	-8.75
1.286	-8.65625
1.287	-8.484375
1.288	-8.359375
1.289	-8.25
1.29	-8.078125
1.291	-7.984375
1.292	-7.84375
1.293	-7.703125
1.294	-7.609375
1.295	-7.484375
1.296	-7.359375
1.297	-7.234375
1.298	-7.140625
1.299	-7.046875
1.3	-6.921875
1.301	-6.84375
1.302	-6.75
1.303	-6.6875
1.304	-6.59375
1.305	-6.515625
1.306	-6.484375
1.307	-6.4375
1.308	-6.390625
1.309	-6.328125
1.31	-6.265625
1.311	-6.25
1.312	-6.203125
1.313	-6.171875
1.314	-6.1875
1.315	-6.203125
1.316	-6.25
1.317	-6.328125
1.318	-6.390625
1.319	-6.515625
1.32	-6.65625
1.321	-6.8125
1.322	-7.015625
1.323	-7.1875
1.324	-7.34375
1.325	-7.46875
1.326	-7.5625
1.327	-7.65625
1.328	-7.765625
1.329	-7.875
1.33	-8.03125
1.331	-8.25
1.332	-8.546875
1.333	-8.890625
1.334	-9.296875
1.335	-9.78125
1.336	-10.26562
1.337	-10.78125
1.338	-11.28125
1.339	-11.75
1.34	-12.25
1.341	-12.70312
1.342	-13.09375
1.343	-13.48438
1.344	-13.82812
1.345	-14.125
1.346	-14.35938
1.347	-14.53125
1.348	-14.6875
1.349	-14.76562
1.35	-14.78125
1.351	-14.70312
1.352	-14.5625
1.353	-14.35938
1.354	-14.07812
1.355	-13.78125
1.356	-13.5
1.357	-13.23438
1.358	-12.98438
1.359	-12.73438
1.36	-12.48438
1.361	-12.20312
1.362	-11.875
1.363	-11.53125
1.364	-11.1875
1.365	-10.82812
1.366	-10.45312
1.367	-10.07812
1.368	-9.640625
1.369	-9.1875
1.37	-8.703125
1.371	-8.140625
1.372	-7.59375
1.373	-6.96875
1.374	-6.296875
1.375	-5.59375
1.376	-4.765625
1.377	-3.96875
1.378	-3.109375
1.379	-2.203125
1.38	-1.375
1.381	-0.5
1.382	0.390625
1.383	1.25
1.384	2.140625
1.385	2.875
1.386	3.578125
1.387	4.265625
1.388	4.8125
1.389	5.390625
1.39	5.90625
1.391	6.390625
1.392	6.984375
1.393	7.53125
1.394	8.109375
1.395	8.765625
1.396	9.34375
1.397	9.984375
1.398	10.60938
1.399	11.20312
1.4	11.875
1.401	12.54688
1.402	13.20312
1.403	13.90625
1.404	14.59375
1.405	15.25
1.406	15.90625
1.407	16.5
1.408	17.14062
1.409	17.76562
1.41	18.32812
1.411	18.89062
1.412	19.42188
1.413	19.90625
1.414	20.42188
1.415	20.89062
1.416	21.375
1.417	21.89062
1.418	22.34375
1.419	22.78125
1.42	23.20312
1.421	23.54688
1.422	23.85938
1.423	24.14062
1.424	24.32812
1.425	24.53125
1.426	24.6875
1.427	24.8125
1.428	24.9375
1.429	24.95312
1.43	24.92188
1.431	24.89062
1.432	24.78125
1.433	24.6875
1.434	24.54688
1.435	24.35938
1.436	24.20312
1.437	23.98438
1.438	23.71875
1.439	23.42188
1.44	23.07812
1.441	22.73438
1.442	22.42188
1.443	22.0625
1.444	21.71875
1.445	21.39062
1.446	21.01562
1.447	20.59375
1.448	20.14062
1.449	19.64062
1.45	19.14062
1.451	18.64062
1.452	18.10938
1.453	17.60938
1.454	17.07812
