Interval=	0.001 s
ExcelDateTime=	4.3789696833545400e+04	11/20/19 16:43:26.418323
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	500.0 mV
0.798	3.859375
0.799	3.84375
0.8	3.84375
0.801	3.84375
0.802	3.859375
0.803	3.859375
0.804	3.828125
0.805	3.859375
0.806	3.875
0.807	3.890625
0.808	3.90625
0.809	3.90625
0.81	3.921875
0.811	3.96875
0.812	3.953125
0.813	3.96875
0.814	4
0.815	4.03125
0.816	4.03125
0.817	4
0.818	4.015625
0.819	4.03125
0.82	4.015625
0.821	4.015625
0.822	4.015625
0.823	4
0.824	4
0.825	3.984375
0.826	3.96875
0.827	3.9375
0.828	3.875
0.829	3.828125
0.83	3.78125
0.831	3.71875
0.832	3.625
0.833	3.59375
0.834	3.59375
0.835	3.515625
0.836	3.46875
0.837	3.453125
0.838	3.421875
0.839	3.375
0.84	3.359375
0.841	3.3125
0.842	3.265625
0.843	3.234375
0.844	3.171875
0.845	3.109375
0.846	3.0625
0.847	2.96875
0.848	2.921875
0.849	2.84375
0.85	2.765625
0.851	2.71875
0.852	2.65625
0.853	2.5625
0.854	2.484375
0.855	2.375
0.856	2.34375
0.857	2.28125
0.858	2.171875
0.859	2.109375
0.86	2
0.861	1.953125
0.862	1.84375
0.863	1.765625
0.864	1.703125
0.865	1.625
0.866	1.5625
0.867	1.46875
0.868	1.421875
0.869	1.359375
0.87	1.296875
0.871	1.25
0.872	1.1875
0.873	1.1875
0.874	1.125
0.875	1.046875
0.876	1.03125
0.877	1.03125
0.878	1
0.879	0.96875
0.88	0.953125
0.881	0.953125
0.882	0.90625
0.883	0.875
0.884	0.875
0.885	0.84375
0.886	0.84375
0.887	0.765625
0.888	0.765625
0.889	0.765625
0.89	0.71875
0.891	0.671875
0.892	0.640625
0.893	0.65625
0.894	0.640625
0.895	0.609375
0.896	0.625
0.897	0.625
0.898	0.609375
0.899	0.5625
0.9	0.53125
0.901	0.5
0.902	0.484375
0.903	0.46875
0.904	0.46875
0.905	0.453125
0.906	0.421875
0.907	0.40625
0.908	0.359375
0.909	0.359375
0.91	0.34375
0.911	0.34375
0.912	0.34375
0.913	0.328125
0.914	0.265625
0.915	0.203125
0.916	0.171875
0.917	0.109375
0.918	0.0625
0.919	0.015625
0.92	0.015625
0.921	0
0.922	-0.03125
0.923	-0.078125
0.924	-0.140625
0.925	-0.1875
0.926	-0.1875
0.927	-0.171875
0.928	-0.140625
0.929	-0.140625
0.93	-0.15625
0.931	-0.1875
0.932	-0.21875
0.933	-0.234375
0.934	-0.265625
0.935	-0.265625
0.936	-0.265625
0.937	-0.25
0.938	-0.21875
